Designator,Footprint,Quantity,Value,LCSC Part #
"C13, C21, C25, C28, C29",0603,5,100nF,
"C14, C16",0603,2,4.7uF/50V,
C15,0603,1,0.1uF/50V,
C17,0603,1,82pF/16V,
"C18, C19",0603,2,22uF/16V,
"C2, C3, C37, C4, C5, C9",0402,6,100nF,
C20,0603,1,0.1uF/16V,
"C22, C24, C26, C27",0402,4,1uF,
C23,0603,1,10nF/16V,
"C30, C31",0402,2,20pF,
"C40, C41, C7",0402,3,2.2uF,
"C6, C8",0402,2,0.1uF,
D2,D_SMA,1,SMAJ33A,
D3,D_SMC,1,D,
D4,0603,1,RED_LED,
D5,0603,1,BLUE_LED,
D6,0603,1,GREEN_LED,
J1,JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,1,Conn_01x05_Socket,
"J2, J4, J5",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,3,Conn_01x04_Socket,
J6,SolderWire-0.1sqmm_1x02_P3.6mm_D0.4mm_OD1mm,1,Conn_01x02_Pin,
J7,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0_16P,
J8,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,Conn_01x08_Socket,
J9,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,Conn_01x06_Socket,
L1,L_APV_ANR4026,1,10uH,
"R1, R2",0402,2,5.1k,
R10,0603,1,3.16k,
"R11, R4",0402,2,330R,
R12,0603,1,100k,
R13,0402,1,1k,
"R14, R8",0402,2,4.7k,
"R15, R7",0402,2,10k,
R16,0805,1,30k (28.18k),
R17,0805,1,10k,
R18,0402,1,0,
R19,0805,1,1k,
R3,0402,1,100k,
"R5, R6",0402,2,22R,
R9,0603,1,10k,
SW1,SW_Push_1P1T_NO_CK_KMR2,1,SW_Push,
U1,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGTx,
U2,SOT-23-6,1,USBLC6-2SC6,
U3,SOT-23-5,1,LP5907MFX-3.3,
U5,PQFN50P300X250X97-14N,1,ICM-42688-P,
U6,PQFN50P200X200X80-10N,1,BMP388,
U7,SOIC127P600X175-9N,1,RT8279GSP,
U9,SOT-23-5,1,AP2112K-3.3,
Y1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz,
